City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,26.52,72,100,3.09,US,1707874061
1,papatowai,-46.5619,169.4708,21.27,55,0,0.8,NZ,1707874076
2,crane,31.3974,-102.3501,14.39,28,73,7.83,US,1707874344
3,ulladulla,-35.35,150.4667,17.67,90,100,5.46,AU,1707874346
4,port-aux-francais,-49.35,70.2167,8.08,89,100,8.8,TF,1707874063
5,blackmans bay,-43.0167,147.3167,17.51,43,17,1.79,AU,1707874063
6,rio grande,-32.035,-52.0986,17.75,63,100,5.25,BR,1707874136
7,zheleznodorozhnyy,55.7503,38.0042,-10.71,94,100,4.02,RU,1707874066
8,bethel,41.3712,-73.414,2.09,82,0,2.57,US,1707874063
9,klyuchi,52.2667,79.1667,-6.97,61,100,11.25,RU,1707874068
10,college,64.8569,-147.8028,7.18,64,75,5.14,US,1707873894
11,avarua,-21.2078,-159.775,30.03,62,20,5.66,CK,1707874083
12,lompoc,34.6391,-120.4579,15.43,79,0,5.66,US,1707874065
13,constantia,44.1833,28.65,6.5,82,100,5.26,RO,1707874086
14,kievka,50.2619,71.5514,-1.49,96,100,11.5,KZ,1707874390
15,kalmunai,7.4167,81.8167,25.54,86,74,4.88,LK,1707874098
16,lebu,-37.6167,-73.65,13.84,89,0,4.07,CL,1707874078
17,jalpan,21.2333,-99.4833,16.36,71,21,0.39,MX,1707874390
18,iqaluit,63.7506,-68.5145,-19.15,78,75,0.0,CA,1707874061
19,richards bay,-28.783,32.0377,20.79,89,7,3.5,ZA,1707874081
20,qusmuryn,52.4503,64.6311,-13.73,86,43,5.19,KZ,1707874391
21,pailitas,8.9565,-73.6255,27.48,59,100,1.61,CO,1707874391
22,akureyri,65.6835,-18.0878,-5.04,86,75,3.6,IS,1707874147
23,serra,-20.1286,-40.3078,26.7,78,0,4.12,BR,1707874391
24,wuchuan,21.4571,110.7659,20.88,74,100,5.92,CN,1707874391
25,wailua homesteads,22.0669,-159.378,25.44,73,0,8.23,US,1707874066
26,edinburgh of the seven seas,-37.0676,-12.3116,17.96,83,67,4.0,SH,1707874062
27,ust-nera,64.5667,143.2,-35.44,96,100,0.08,RU,1707874063
